流水號;授課對象;課號;班次;課程名稱查看課程大綱，請點選課程名稱;簡介影片;學分;課程識別碼;全/半年;必/選修;授課教師;加選方式;時間教室;總人數;選課限制條件;備註;課程網頁;本學期我預計要選的課程
;政治系政論組;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;材料系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;法律系財法組;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;生技系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。週一單週上課。;;
;農藝系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;會計系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;國企系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;機械系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;農經系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;化學系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。週一單週上課。;;
;生傳發展系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;哲學系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;動科系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;法律系法學組;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;資工系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;電機系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;農化系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;人類系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;公衛系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表。週一單週上課。;;
;外文系;Common1012;;國文領域;;3.0;000 10120;全年;必修;;;;15;本校修課人數上限：15人;初選不開放。參閱共同必修課程時間表。;;
