流水號;授課對象;課號;班次;課程名稱查看課程大綱，請點選課程名稱;簡介影片;學分;課程識別碼;全/半年;必/選修;授課教師;加選方式;時間教室;總人數;選課限制條件;備註;課程網頁;本學期我預計要選的課程
;國企系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;人類系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;藥學系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;機械系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;戲劇系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;資工系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;醫學系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;醫技系;Common1011;;國文領域;;3.0;000 10110;半年;必帶;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;地質系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;政治系國關組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;大氣系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;化學系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;心理系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;牙醫系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;數學系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;政治系政論組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;社會系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;化工系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;物治系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;經濟系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;工科海洋系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;農化系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;醫工系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;15;本校修課人數上限：15人;參閱共同必修國文領域課程時間表。;;
;護理系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;動科系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;生傳發展系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;園藝系;Common1011;;國文領域;;3.0;000 10110;半年;必帶;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;獸醫系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;農藝系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;森林環資系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;1;本校修課人數上限：1人;參閱共同必修國文領域課程時間表。;;
;材料系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;工管系科管組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;植微系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;農經系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;工管系企管組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;生物機電系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;昆蟲系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;財金系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;資管系;Common1011;;國文領域;;3.0;000 10110;半年;必帶;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;生科系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;30;本校修課人數上限：30人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;會計系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱大學國文課程時間表。;;
;圖資系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;電機系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;日文系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;土木系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;生技系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;法律系財法組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;法律系司法組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;職治系;Common1011;;國文領域;;3.0;000 10110;半年;必帶;;;;48;本校修課人數上限：48人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;政治系公行組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;社工系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;生工系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;公衛系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;哲學系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;45;本校修課人數上限：45人;參閱共同必修國文領域課程時間表。;;
;法律系法學組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;地理系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;歷史系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;物理系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。週一單週上課。;;
;外文系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;15;本校修課人數上限：15人;參閱共同必修國文領域課程時間表。;;
;物理系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表;;
;歷史系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表;;
;圖資系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;50;本校修課人數上限：50人;請參閱外文領域時間表;;
;人類系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表;;
;法律系法學組;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表。;;
;哲學系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;50;本校修課人數上限：50人;參閱共同必修課程時間表;;
;生工系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表;;
;社工系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;中文系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表;;
;法律系司法組;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表。;;
;法律系財法組;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表。;;
;土木系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱外文領域課程時間表;;
;資工系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;會計系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;50;本校修課人數上限：50人;參閱共同必修課程時間表;;
;生科系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;請參閱外文領域分班編組課程時間表。與英文領域擇一修習。;;
;工管系科管組;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;50;本校修課人數上限：50人;參閱外文領域課程時間表。;;
;財金系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;50;本校修課人數上限：50人;參閱共同必修課程時間表。;;
;昆蟲系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;生物機電系;Common1009;;外文領域上;;3.0;000 20001;全年;必修;;;;100;本校修課人數上限：100人;參閱共同必修課程時間表;;
