流水號;授課對象;課號;班次;課程名稱查看課程大綱，請點選課程名稱;簡介影片;學分;課程識別碼;全/半年;必/選修;授課教師;加選方式;時間教室;總人數;選課限制條件;備註;課程網頁;本學期我預計要選的課程
;生工系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;經濟系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表。;;
;哲學系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱共同必修課程時間表;;
;社工系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;生科系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);30;本校修課人數上限：30人;請參閱國文領域分班編組課程時間表。週一單週上課。;;
;物理系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表週一單週上課。;;
;工管系企管組;Common1001;;國文領域上;;3;000 10001;全年;必修;;;四7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱國文領域課程時間表。;;
;財金系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;四7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;國企系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;四7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表與相關規定;;
;會計系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;四7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱共同必修課程時間表;;
;資工系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;農經系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;牙醫系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表。;;
;護理系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表週一單週上課。;;
;生傳發展系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;昆蟲系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;地質系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表週一單週上課。;;
;政治系國關組;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;土木系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;電機系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;地理系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表週一單週上課。;;
;農藝系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;化工系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;農化系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱共同必修課程時間表，僑、外生選修星期五678堂之課程;;
;材料系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;工科海洋系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修領域課表;;
;機械系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表。;;
;森林環資系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;;1;本校修課人數上限：1人;參閱國文領域課程時間表。;;
;獸醫系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱國文領域課程時間表;;
;動科系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表;;
;生物機電系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;公衛系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表週一單週上課。;;
;資管系;Common1001;;國文領域上;;3;000 10001;全年;必帶;;;四7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱共同必修課程時間表。;;
;外文系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;;15;本校修課人數上限：15人;參閱共同必修領域課程時間表;;
;政治系公行組;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;社會系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);45;本校修課人數上限：45人;請參閱共同必修時間表。;;
;園藝系;Common1001;;國文領域上;;3;000 10001;全年;必帶;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表。;;
;戲劇系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;五7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表;;
;職治系;Common1001;;國文領域上;;3;000 10001;全年;必帶;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);48;本校修課人數上限：48人;參閱國文領域課程時間表週一單週上課。;;
;工管系科管組;Common1001;;國文領域上;;3;000 10001;全年;必修;;;四7,8,9(請洽系所辦);45;本校修課人數上限：45人;參閱國文領域課程時間表。;;
;生技系;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一1,2(請洽系所辦)  四1,2(請洽系所辦);100;本校修課人數上限：100人;參閱共同必修課程時間表。週一單週上課。;;
;法律系法學組;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表。;;
;法律系財法組;Common1001;;國文領域上;;3;000 10001;全年;必修;;;一7,8,9(請洽系所辦);100;本校修課人數上限：100人;參閱國文領域課程時間表。;;
